"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2017 - Anni 2017/2065"
"Anno: 2017 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
77;583832;583832;583832;583832;583832;583832;583832;
78;555190;555190;555190;555190;555190;555190;555190;
79;501645;501645;501645;501645;501645;501645;501645;
80;457422;457422;457422;457422;457422;457422;457422;
81;451532;451532;451532;451532;451532;451532;451532;
82;419817;419817;419817;419817;419817;419817;419817;
83;388148;388148;388148;388148;388148;388148;388148;
84;354069;354069;354069;354069;354069;354069;354069;
85;330642;330642;330642;330642;330642;330642;330642;
86;315146;315146;315146;315146;315146;315146;315146;
87;262391;262391;262391;262391;262391;262391;262391;
88;230514;230514;230514;230514;230514;230514;230514;
89;199809;199809;199809;199809;199809;199809;199809;
90;166991;166991;166991;166991;166991;166991;166991;
91;138130;138130;138130;138130;138130;138130;138130;
92;112337;112337;112337;112337;112337;112337;112337;
93;90811;90811;90811;90811;90811;90811;90811;
94;69740;69740;69740;69740;69740;69740;69740;
95;52956;52956;52956;52956;52956;52956;52956;
96;38577;38577;38577;38577;38577;38577;38577;
97;18517;18517;18517;18517;18517;18517;18517;
98;9959;9959;9959;9959;9959;9959;9959;
99;7516;7516;7516;7516;7516;7516;7516;
100;5843;5843;5843;5843;5843;5843;5843;
101;4875;4875;4875;4875;4875;4875;4875;
102;3153;3153;3153;3153;3153;3153;3153;
103;1855;1855;1855;1855;1855;1855;1855;
104;919;919;919;919;919;919;919;
105;477;477;477;477;477;477;477;
106;274;274;274;274;274;274;274;
107;124;124;124;124;124;124;124;
108;64;64;64;64;64;64;64;
109;28;28;28;28;28;28;28;
110 e oltre;18;18;18;18;18;18;18;
Totale;60589445;60589445;60589445;60589445;60589445;60589445;60589445;
"Anno: 2018 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
0;231726;233067;235696;238530;241287;243885;245335;
1;240898;240936;241010;241086;241165;241239;241278;
2;250316;250354;250426;250502;250579;250651;250690;
3;259047;259083;259155;259229;259305;259375;259414;
4;263770;263806;263877;263949;264023;264093;264130;
5;275672;275708;275776;275847;275920;275988;276024;
6;281414;281450;281517;281586;281658;281724;281760;
7;289483;289518;289583;289651;289722;289785;289822;
8;293949;293983;294047;294114;294183;294245;294281;
9;296761;296795;296857;296922;296989;297052;297086;
10;296111;296144;296204;296269;296336;296396;296430;
11;296901;296935;296993;297058;297124;297183;297215;
12;295266;295300;295357;295422;295488;295548;295579;
13;297078;297111;297170;297236;297303;297364;297395;
14;294790;294825;294885;294953;295023;295085;295118;
15;293041;293079;293142;293214;293288;293354;293389;
16;296484;296524;296592;296671;296750;296822;296860;
